03:32:08.179 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
03:32:08.190 [main] INFO  c.o.p.PermissionDemoApplication - Starting PermissionDemoApplication using Java 1.8.0_191 on DESKTOP-7P2EMS6 with PID 10988 (E:\idea_workspace\permission-demo\target\classes started by oldman in E:\idea_workspace\permission-demo)
03:32:08.191 [main] INFO  c.o.p.PermissionDemoApplication - No active profile set, falling back to default profiles: default
03:32:08.722 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
03:32:08.741 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
03:32:08.762 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
03:32:09.123 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9119 (http)
03:32:09.132 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9119"]
03:32:09.132 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
03:32:09.132 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.50]
03:32:09.185 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
03:32:09.185 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 957 ms
03:32:10.587 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9119"]
03:32:10.598 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9119 (http) with context path ''
03:32:10.605 [main] INFO  c.o.p.PermissionDemoApplication - Started PermissionDemoApplication in 2.821 seconds (JVM running for 3.64)
03:32:15.103 [http-nio-9119-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
03:32:15.103 [http-nio-9119-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
03:32:15.106 [http-nio-9119-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
03:32:15.142 [http-nio-9119-exec-1] ERROR c.o.p.c.a.GlobalExceptionHandler - 异常类型: java.lang.NullPointerException，异常详情：null
03:34:54.859 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
03:34:54.866 [main] INFO  c.o.p.PermissionDemoApplication - Starting PermissionDemoApplication using Java 1.8.0_191 on DESKTOP-7P2EMS6 with PID 22036 (E:\idea_workspace\permission-demo\target\classes started by oldman in E:\idea_workspace\permission-demo)
03:34:54.867 [main] INFO  c.o.p.PermissionDemoApplication - No active profile set, falling back to default profiles: default
03:34:55.441 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
03:34:55.442 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
03:34:55.463 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
03:34:55.829 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9119 (http)
03:34:55.837 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9119"]
03:34:55.838 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
03:34:55.838 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.50]
03:34:55.901 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
03:34:55.901 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 990 ms
03:34:57.354 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9119"]
03:34:57.369 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9119 (http) with context path ''
